----------------
Record performed: 03.03.2023 16:57:30
X Channel Name: SG384
Comments: DC211 with MF ph600 WL 680
Time Constant: 1
Field step: 0,5
Sweep count: 2
MHz/mA V V
SG384
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
---------------------------------------------------------
Frequency, MHz         	Channel1         	Channel2
---------------------------------------------------------
2922.5  	-2.70607E-05  	-1.1503766E-05  	
2923  	-2.34844E-05  	1.66894E-06  	
2923.5  	-2.032531E-05  	7.629455E-06  	
2924  	-2.336517E-05  	1.7881E-07  	
2924.5  	-1.025206E-05  	2.682231E-06  	
2925  	-1.490125E-05  	-9.17918E-06  	
2925.5  	-1.132496E-05  	-3.45708E-06  	
2926  	-1.275548E-05  	3.87431E-06  	
2926.5  	-2.241148E-05  	-2.920639E-06  	
2927  	-1.871597E-05  	-6.37775E-06  	
2927.5  	-1.364955E-05  	8.34469E-06  	
2928  	-2.336517E-05  	-3.93393E-06  	
2928.5  	-2.926602E-05  	-4.88761E-06  	
2929  	-2.33651E-05  	-2.682219E-06  	
2929.5  	-3.52862E-05  	3.039855E-06  	
2930  	-3.1829E-05  	1.072897E-06  	
2930.5  	-3.05177E-05  	-6.5565E-07  	
2931  	-3.92201E-05  	3.874315E-06  	
2931.5  	-3.62994E-05  	7.1526E-07  	
2932  	-5.19754E-05  	-1.25169E-06  	
2932.5  	-7.3314E-05  	7.09299E-06  	
2933  	-8.48775E-05  	1.1146182E-05  	
2933.5  	-0.000104249  	1.746418E-05  	
2934  	-0.0001093154  	4.7686E-07  	
2934.5  	-0.0001095538  	9.775232E-06  	
2935  	-0.0001466283  	2.02061E-05  	
2935.5  	-0.0001734504  	1.120573E-05  	
2936  	-0.000216366  	1.484164E-05  	
2936.5  	-0.000263097  	2.205381E-06  	
2937  	-0.000321688  	-4.47037E-06  	
2937.5  	-0.000397803  	1.96697E-05  	
2938  	-0.00048125  	3.153101E-05  	
2938.5  	-0.000569765  	2.414008E-05  	
2939  	-0.000605229  	1.865637E-05  	
2939.5  	-0.000629429  	1.466287E-05  	
2940  	-0.000652257  	1.358992E-05  	
2940.5  	-0.000673774  	2.068288E-05  	
2941  	-0.000664715  	1.305348E-05  	
2941.5  	-0.000646297  	1.817954E-05  	
2942  	-0.000622992  	2.014646E-05  	
2942.5  	-0.000610295  	1.63318E-05  	
2943  	-0.000563625  	1.698741E-05  	
2943.5  	-0.000494901  	1.525891E-05  	
2944  	-0.00042093  	1.567614E-05  	
2944.5  	-0.000348212  	7.27181E-06  	
2945  	-0.000282289  	9.47719E-06  	
2945.5  	-0.000221492  	1.126533E-05  	
2946  	-0.0001764903  	1.478203E-05  	
2946.5  	-0.0001445422  	3.69551E-06  	
2947  	-0.0001131303  	1.645097E-05  	
2947.5  	-9.656E-05  	1.531848E-05  	
2948  	-8.46391E-05  	1.841795E-05  	
2948.5  	-6.90226E-05  	-5.12603E-06  	
2949  	-7.3493E-05  	-5.543261E-06  	
2949.5  	-6.96186E-05  	5.84129E-06  	
2950  	-5.26312E-05  	1.525891E-05  	
2950.5  	-4.30348E-05  	7.74865E-06  	
