delta_f,delta_tau,mf_solar,final_spin
0.022469314,-0.00017408123,55.5,0.7
-0.015644616,0.0030875867,55.5,0.7
0.01242227,0.077130874,55.5,0.7
-0.026493904,-0.0021551036,55.5,0.7
-0.045687319,-0.047385685,55.5,0.7
-0.0025213071,0.054333336,55.5,0.7
0.026869512,-0.0082321605,55.5,0.7
0.033428119,-0.043781443,55.5,0.7
-0.011379238,-0.067255994,55.5,0.7
-0.061479629,0.10347407,55.5,0.7
0.00018405105,0.0018834941,55.5,0.7
-0.016056288,0.10357059,55.5,0.7
0.0091308563,-0.04952053,55.5,0.7
0.022675148,-0.051683229,55.5,0.7
-0.022905059,0.10852097,55.5,0.7
-0.031230716,-0.013497455,55.5,0.7
-0.021587854,-0.0076537086,55.5,0.7
-0.030442107,-0.011633114,55.5,0.7
-0.039902034,-0.062555374,55.5,0.7
-0.0035040269,0.069700794,55.5,0.7
-0.032167557,-0.072172948,55.5,0.7
-0.018598652,0.050918609,55.5,0.7
-0.020142486,-0.061364448,55.5,0.7
-0.028562785,0.16204801,55.5,0.7
0.0079431359,0.053747449,55.5,0.7
-0.024198297,0.070960877,55.5,0.7
-0.012846665,-0.097832605,55.5,0.7
0.013582655,0.032272965,55.5,0.7
-0.014785003,-0.033465225,55.5,0.7
-0.054182723,-0.055838019,55.5,0.7
-0.024731126,-0.048214329,55.5,0.7
-0.024781796,0.053604046,55.5,0.7
0.0083280462,0.012264782,55.5,0.7
0.039213242,-0.014467986,55.5,0.7
-0.0046715348,-0.02970407,55.5,0.7
-0.01465318,-0.034084723,55.5,0.7
0.033129131,-0.018227056,55.5,0.7
-0.031562755,-0.015306876,55.5,0.7
-0.0017465143,-0.062336574,55.5,0.7
0.0035408661,-0.046715413,55.5,0.7
-0.012291012,-0.12997876,55.5,0.7
-0.016351276,0.0025801009,55.5,0.7
-0.0054673004,0.041843705,55.5,0.7
0.034582487,-0.015236411,55.5,0.7
0.006286289,0.093733087,55.5,0.7
-0.028593684,-0.044368858,55.5,0.7
-0.0021922076,0.0096213198,55.5,0.7
0.017981955,0.082225893,55.5,0.7
0.042447211,0.031509479,55.5,0.7
0.013279289,-0.037532868,55.5,0.7
-0.0050125487,0.029042838,55.5,0.7
0.030522566,-0.010038967,55.5,0.7
0.015687263,0.079371435,55.5,0.7
-0.0064779705,0.053770078,55.5,0.7
-0.03064803,-0.011278652,55.5,0.7
-0.0082781135,0.038734325,55.5,0.7
0.017520595,0.11753767,55.5,0.7
-0.042795962,0.068714436,55.5,0.7
-0.058596527,0.04929244,55.5,0.7
0.0044176211,-0.0016490238,55.5,0.7
-0.056717507,-0.038350256,55.5,0.7
-0.049769376,-0.04703083,55.5,0.7
-0.017144633,0.067789275,55.5,0.7
-0.01818023,-0.060525011,55.5,0.7
-0.009458452,0.031520667,55.5,0.7
-0.0062519025,0.10469502,55.5,0.7
0.0045298342,-0.08692717,55.5,0.7
-0.014337951,0.027408535,55.5,0.7
-0.036024004,-0.058737685,55.5,0.7
-0.095759315,-0.018100259,55.5,0.7
0.025596835,0.045543653,55.5,0.7
0.01193208,-0.048782192,55.5,0.7
0.007018692,-0.069908903,55.5,0.7
-0.012359768,-0.018189679,55.5,0.7
-0.038030351,0.014015745,55.5,0.7
0.002516209,-0.014565877,55.5,0.7
-0.013955924,-0.052006285,55.5,0.7
-0.052426011,0.039943851,55.5,0.7
0.018699549,-0.055670758,55.5,0.7
-0.054390098,-0.089603152,55.5,0.7
-0.024891398,0.010162337,55.5,0.7
0.040502585,0.14761808,55.5,0.7
-0.036199383,-0.029071509,55.5,0.7
-0.0067615878,0.0020720458,55.5,0.7
0.019426376,-0.049394306,55.5,0.7
-0.012032252,-0.030578977,55.5,0.7
-0.054270597,-0.070723402,55.5,0.7
-0.026991703,0.020137618,55.5,0.7
-0.013815367,-0.035169925,55.5,0.7
-0.057141541,-0.050593351,55.5,0.7
0.030318387,0.071455412,55.5,0.7
-0.0029570799,-0.08015218,55.5,0.7
0.0086979777,0.066932375,55.5,0.7
-0.0045947114,-0.0032255912,55.5,0.7
-0.001280904,-0.047042658,55.5,0.7
-0.02334552,0.0025061308,55.5,0.7
-0.056640089,-0.019174562,55.5,0.7
0.007332077,0.029576128,55.5,0.7
-0.011718644,-0.0065896453,55.5,0.7
0.034015014,0.13012684,55.5,0.7
-0.047493198,0.06351845,55.5,0.7
-0.007994054,0.075477397,55.5,0.7
0.052134764,-0.053701553,55.5,0.7
-0.052926429,-0.022459797,55.5,0.7
-0.048403898,0.071682723,55.5,0.7
-0.0062063789,0.044346596,55.5,0.7
0.037650306,0.018169631,55.5,0.7
-0.048555531,-0.0054000624,55.5,0.7
-0.011267508,0.070776588,55.5,0.7
-0.018593326,-0.10990996,55.5,0.7
-0.02982827,-0.048878714,55.5,0.7
-0.020738048,-0.078508334,55.5,0.7
0.023288659,0.08430416,55.5,0.7
-0.0091526346,-0.075922316,55.5,0.7
-0.052646157,-0.017117928,55.5,0.7
-0.031800779,0.085617563,55.5,0.7
-0.01054908,-0.010521771,55.5,0.7
-0.055361526,0.016277577,55.5,0.7
-0.03419246,0.0050794635,55.5,0.7
-0.025632002,0.046346052,55.5,0.7
-0.076447375,0.12855642,55.5,0.7
0.041848115,-0.052650973,55.5,0.7
-0.061974039,-0.0053073609,55.5,0.7
-0.011805819,0.1084825,55.5,0.7
-0.018891812,0.15080462,55.5,0.7
-0.031786635,-0.0091553841,55.5,0.7
0.022555168,0.099129644,55.5,0.7
-0.011868303,0.048881702,55.5,0.7
-0.038727491,0.041100959,55.5,0.7
0.021316517,-0.071490711,55.5,0.7
0.0027667433,-0.087822305,55.5,0.7
-0.044768613,0.0099807664,55.5,0.7
-0.059442158,-0.0088472253,55.5,0.7
0.012723657,0.0071007046,55.5,0.7
-0.017867106,-0.064778177,55.5,0.7
-0.057539575,0.086891511,55.5,0.7
0.0027119509,1.816732e-06,55.5,0.7
-0.056818306,0.1642491,55.5,0.7
-0.034468625,-0.010324992,55.5,0.7
-0.038320566,0.025712208,55.5,0.7
-0.073115282,0.042027792,55.5,0.7
0.0068645325,-0.008869883,55.5,0.7
0.091366282,-0.031933199,55.5,0.7
0.0055728315,-0.022382171,55.5,0.7
-0.0014358342,0.011528576,55.5,0.7
-0.021329629,-0.023892364,55.5,0.7
-0.015652916,0.1287933,55.5,0.7
-0.0052474744,-0.021581655,55.5,0.7
0.0051765116,0.059183611,55.5,0.7
-0.028556005,0.054827643,55.5,0.7
-0.012147173,0.020205323,55.5,0.7
-0.019677282,-0.0577211,55.5,0.7
0.0035816398,0.043188494,55.5,0.7
0.015174972,0.071941667,55.5,0.7
0.020075688,0.025953581,55.5,0.7
-0.026133151,0.0077187624,55.5,0.7
-0.027124109,-0.12530794,55.5,0.7
0.0081860133,-0.05313495,55.5,0.7
-0.02018348,-0.0037349041,55.5,0.7
-0.018673254,0.019327272,55.5,0.7
0.0017456931,0.057516337,55.5,0.7
-0.00060353891,-0.0070477619,55.5,0.7
0.027958608,0.027798307,55.5,0.7
-0.048282988,-0.06046188,55.5,0.7
0.022058354,0.054083205,55.5,0.7
-0.025630477,0.050331734,55.5,0.7
0.0087853717,0.0064598593,55.5,0.7
-0.050340962,0.060271698,55.5,0.7
-0.015287749,-0.0096586448,55.5,0.7
-0.029962948,-0.024190548,55.5,0.7
0.041932237,0.0022097762,55.5,0.7
-0.039710407,0.12460201,55.5,0.7
0.023097554,-0.081906568,55.5,0.7
-0.035354873,0.016491175,55.5,0.7
-0.044704566,-0.018583882,55.5,0.7
-0.0017673409,0.0180048,55.5,0.7
0.020801061,-0.073629682,55.5,0.7
-0.012732139,0.053716497,55.5,0.7
0.0070958878,0.05316051,55.5,0.7
-0.0037548739,-0.0049498065,55.5,0.7
-0.012548836,-0.016653978,55.5,0.7
0.030857966,0.021991896,55.5,0.7
-0.010582358,0.067804575,55.5,0.7
0.015476675,-0.077493018,55.5,0.7
-0.045381145,0.088071375,55.5,0.7
-0.016244427,-0.0099912455,55.5,0.7
0.017794011,0.066565668,55.5,0.7
-0.024283914,-0.042669649,55.5,0.7
-0.074799976,0.11636417,55.5,0.7
0.012195787,0.031408616,55.5,0.7
0.0070834072,0.12175473,55.5,0.7
-0.018890731,-0.027732598,55.5,0.7
-0.0069051465,-0.027066071,55.5,0.7
-0.020234044,0.077948004,55.5,0.7
0.001476169,0.056923117,55.5,0.7
0.023076938,0.039300789,55.5,0.7
-0.00068171267,0.088851232,55.5,0.7
-0.012665705,0.037429613,55.5,0.7
-0.024520365,-0.011172653,55.5,0.7
-0.014719976,-0.10329097,55.5,0.7
-0.025031779,-0.12933745,55.5,0.7
0.019226292,0.057460026,55.5,0.7
-0.041623538,0.040573381,55.5,0.7
-0.027348823,-0.04562121,55.5,0.7
